,0,CRe,DoubleCCRe,TripleCC,Bracket,Benzene,CycleRe,SingleCO,DoubleCO,Predict_LogS,Predict_LogP,Predict_Hansen_Polarity,Predict_Hansen_dis,Predict_Hansen_H_bond,error
0,iterration,,,,,,,,,,,,,,
262,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
264,,10.0,0.0,0.0,3.0,0.0,0.0,9.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
266,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
297,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
295,,10.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
285,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4545,,10.0,0.0,1.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4833,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4831,,10.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
256,,10.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
5307,,10.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
244,,10.0,0.0,0.0,3.0,0.0,0.0,8.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
310,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
248,,10.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
5185,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
68,,10.0,0.0,0.0,3.0,0.0,0.0,9.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
52,,10.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
66,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
5047,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
250,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
62,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4973,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4971,,10.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
254,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4907,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
56,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
64,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4953,,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.49,-0.54,12.5,17.7,14.9,0.21999999999999886
5663,,6.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,-0.0749999999999997,1.71,6.1,17.7,26.0,0.21999999999999958
5791,,6.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,-0.0749999999999997,1.71,6.1,17.7,26.0,0.21999999999999958
4421,,6.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,-0.0749999999999997,1.71,6.1,17.7,26.0,0.21999999999999958
5917,,6.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,-0.0749999999999997,1.71,6.1,17.7,26.0,0.21999999999999958
5963,,6.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,-0.0749999999999997,1.71,6.1,17.7,26.0,0.21999999999999958
5313,,6.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,-0.0749999999999997,1.71,6.1,17.7,26.0,0.21999999999999958
9594,,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,4.1,15.0,7.1,0.25999999999999945
8935,,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,4.1,15.0,7.1,0.25999999999999945
514,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
470,,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
418,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
448,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
482,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
584,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
560,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
556,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
554,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
553,,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,4.1,15.0,7.1,0.25999999999999945
493,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
502,,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
468,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
394,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
518,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
510,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
524,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
530,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
535,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
522,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
6068,,9.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-2.6,2.32,20.1,18.6,16.6,0.27999999999999475
6988,,10.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-2.6,2.32,20.1,18.6,16.6,0.27999999999999475
1558,,9.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,5.9,17.0,10.6,0.3066666666666656
597,,9.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.71,-0.04,5.9,17.7,10.6,0.3066666666666656
6916,,6.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,-0.8883333333333333,-0.02,10.3,18.6,8.0,0.34666666666666757
7267,,11.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,-3.31,2.06,20.1,18.6,16.6,0.4533333333333367
4540,,11.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,-3.31,2.06,20.1,18.6,16.6,0.4533333333333367
5240,,11.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,-3.31,2.06,20.1,18.6,16.6,0.4533333333333367
3790,,11.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,-3.31,2.06,20.1,18.6,16.6,0.4533333333333367
2140,,11.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,-3.31,2.06,20.1,18.6,16.6,0.4533333333333367
701,,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.71,-0.04,6.4,17.7,10.6,0.5066666666666656
588,,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
589,,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.71,-0.04,6.4,17.7,10.6,0.5066666666666656
927,,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
897,,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
895,,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
892,,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.71,-0.04,6.4,17.7,10.6,0.5066666666666656
890,,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
889,,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
591,,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.71,-0.04,6.4,17.7,10.6,0.5066666666666656
592,,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.71,-0.04,6.4,17.7,10.6,0.5066666666666656
910,,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.71,-0.04,6.4,17.7,10.6,0.5066666666666656
951,,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
943,,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
8419,,9.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-3.71,-0.04,6.4,17.7,10.6,0.5066666666666656
8435,,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.71,-0.04,6.4,17.7,10.6,0.5066666666666656
8437,,8.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-3.71,-0.04,6.4,17.7,10.6,0.5066666666666656
885,,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
936,,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
914,,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
916,,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
922,,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
928,,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
925,,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
906,,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
913,,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
702,,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.71,-0.04,6.4,17.7,10.6,0.5066666666666656
967,,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
964,,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
781,,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
