,0,C,Double,Triple,Bracket,Cyclic,Predict,Error
0,iterration,,,,,,,
1,1,,,,,,,
3195,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3258,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
3259,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
3262,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
3263,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
3264,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
3265,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3268,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
3269,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
3270,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
3271,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
3276,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
3277,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
3278,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
3279,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
3280,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
3281,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
3282,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3256,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3252,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3250,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3248,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3204,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3208,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3210,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3212,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3214,,6.0,1.0,1.0,0.0,1.0,352.0833333333333,0.0
3218,,6.0,1.0,1.0,0.0,1.0,352.0833333333333,0.0
3220,,6.0,1.0,1.0,0.0,1.0,352.0833333333333,0.0
3223,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3188,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3225,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
3229,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
3231,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
3235,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3237,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3239,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3241,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3243,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3244,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3227,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3080,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3075,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3072,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2901,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2905,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2907,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2909,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2914,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2916,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2918,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2920,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2922,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2924,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2926,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2928,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2929,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2930,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2931,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2932,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
2933,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2898,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2897,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2895,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2893,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2822,,6.0,1.0,1.0,0.0,1.0,352.0833333333333,0.0
2824,,6.0,1.0,1.0,0.0,1.0,352.0833333333333,0.0
2827,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2829,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2834,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2836,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2841,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2843,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
2934,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2844,,6.0,1.0,1.0,0.0,2.0,352.0833333333333,0.0
2848,,6.0,1.0,1.0,0.0,2.0,352.0833333333333,0.0
2851,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2852,,6.0,1.0,1.0,0.0,1.0,352.0833333333333,0.0
2855,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2857,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2859,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
2865,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2878,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2846,,6.0,1.0,1.0,0.0,2.0,352.0833333333333,0.0
2935,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
2936,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2937,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2991,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2995,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2996,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3009,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3011,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3023,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3025,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3026,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2980,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3031,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3040,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3042,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3044,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3048,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3058,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3063,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3069,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3070,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3034,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2385,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
2978,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2974,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2938,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2939,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2940,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2941,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2942,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2943,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
2946,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2947,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
2976,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2948,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2952,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2953,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
2954,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2955,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
2959,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2961,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2962,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2964,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2949,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3283,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2372,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2364,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
1694,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1696,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1698,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1700,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1702,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1708,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1710,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1711,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1712,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1713,,7.0,0.0,0.0,3.0,0.0,353.95,0.0
1718,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1719,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
1720,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1721,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
1730,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1731,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1734,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1693,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1691,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1689,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1684,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1629,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
1630,,6.0,1.0,2.0,0.0,2.0,352.0833333333333,0.0
1632,,6.0,1.0,2.0,0.0,2.0,352.0833333333333,0.0
1634,,6.0,1.0,2.0,0.0,1.0,352.0833333333333,0.0
1637,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1638,,6.0,1.0,2.0,0.0,1.0,352.0833333333333,0.0
1641,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1644,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1735,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
1646,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1654,,6.0,1.0,2.0,0.0,2.0,352.0833333333333,0.0
1660,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1662,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1664,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1670,,6.0,1.0,2.0,0.0,1.0,352.0833333333333,0.0
